"o_name","o_lat","o_lng","d_name","d_lat","d_lng","walk_duration","walk_duration_value","walk_distance","walk_distance_value","cardinal","cardinal_sd","cardinal_mean","cardinal_cv","min_cv","cardinal_count","rank","scale"
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Cervejaria Micaela Rosa",-22.0120822,-47.8869719,"21 mins",1269,"1.6 km",1650,"SE",445.636997267208,1319.33333333333,0.337774378929162,FALSE,3,5.96131406459724,14.1804570527975
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"A Fábrica Gastro Beer",-22.0105823,-47.8904559,"15 mins",901,"1.1 km",1142,"SE",445.636997267208,1319.33333333333,0.337774378929162,FALSE,3,5.96131406459724,19.9722530521643
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Empório Pellegrini Gastronomia Árabe",-22.0195306,-47.8874736,"30 mins",1788,"2.4 km",2403,"SE",445.636997267208,1319.33333333333,0.337774378929162,FALSE,3,5.96131406459724,10.0643176733781
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Armazém da Cerveja - São Carlos 2",-22.0277087,-47.8997771,"39 mins",2345,"2.9 km",2910,"S",606.075737841402,1567.4,0.386675856731786,FALSE,5,7.58678342980789,7.67377398720682
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pronto Socorro das Bebidas (P.S.)",-22.0253832,-47.8895766,"35 mins",2078,"2.7 km",2672,"S",606.075737841402,1567.4,0.386675856731786,FALSE,5,7.58678342980789,8.65976900866218
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Cervejaria Avenida 42 - Tap House São Carlos",-22.0145127,-47.8925725,"16 mins",954,"1.3 km",1289,"S",606.075737841402,1567.4,0.386675856731786,FALSE,5,7.58678342980789,18.8626834381551
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Cervejaria Vitruviana",-22.019783,-47.8935161,"21 mins",1230,"1.7 km",1658,"S",606.075737841402,1567.4,0.386675856731786,FALSE,5,7.58678342980789,14.630081300813
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Cervejaria Vitruviana",-22.019821,-47.893572,"21 mins",1230,"1.7 km",1658,"S",606.075737841402,1567.4,0.386675856731786,FALSE,5,7.58678342980789,14.630081300813
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Mosteiro Cervejaria",-22.0027137,-47.8740145,"39 mins",2355,"3.0 km",2984,"E",162.634559672906,2470,0.0658439512845773,TRUE,2,17.1878287672628,7.6411889596603
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Bonde Bebidas",-22.0113219,-47.8718846,"43 mins",2585,"3.3 km",3312,"E",162.634559672906,2470,0.0658439512845773,TRUE,2,17.1878287672628,6.96131528046422
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Cervejaria República",-22.0094022,-47.8980353,"6 mins",359,"0.5 km",494,"SW",NA,359,NA,NA,1,NA,50.125348189415
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Cervejaria Kirchen",-22.0028063,-47.9026713,"15 mins",901,"1.2 km",1222,"NW",NA,901,NA,NA,1,NA,19.9722530521643
