"o_name","o_lat","o_lng","d_name","d_lat","d_lng","walk_duration","walk_duration_value","walk_distance","walk_distance_value"
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizzaria e Lanchonete Divino Sabor",-21.9980754,-47.8650205,"2 days 18 hours",237274,"317 km",316836
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Don Raffaele Pizze & Ristorante",-22.0153659,-47.8932042,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pitcho Pizzaria e Delivery",-22.0158596,-47.8925671,"2 days 18 hours",237274,"317 km",316836
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizzaria Florença",-22.0175917,-47.894644,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Bella Capri - São Carlos",-22.0130811,-47.8856785,"2 days 18 hours",237274,"317 km",316836
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizzaria Express Delivery",-22.018921,-47.895833,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Bom Pedaço Pizzaria",-22.0104935,-47.8888016,"2 days 18 hours",237274,"317 km",316836
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizzaria Riviera Forno à Lenha",-22.0165602,-47.8927887,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizzeria Monte Carlo - San Carlos",-22.012351,-47.892387,"2 days 18 hours",237274,"317 km",316836
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"PIZZARINI",-22.0160522,-47.896941,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizzaria Forno Brasile",-22.0094904,-47.8916784,"2 days 18 hours",237274,"317 km",316836
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Bonde Pizza - Pizzaria Delivery em São Carlos",-22.026472,-47.8906029,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizzaria Dona Redonda",-22.0120369,-47.8868719,"2 days 18 hours",237274,"317 km",316836
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Amici Pizza & Cibo",-22.0122083,-47.8979739,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizzaria Florença Delivery",-22.01235,-47.8848439,"2 days 18 hours",237274,"317 km",316836
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Domino's Pizza",-22.0049755,-47.8912482,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Bom Pedaço - Rodízio de Pizzas",-22.00407,-47.8950488,"2 days 18 hours",237274,"317 km",316836
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizzaria Casarão",-22.0279219,-47.8834697,NA,NA,NA,NA
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Bonna Massa Pizzaria - São Carlos",-22.032062,-47.896405,"2 days 18 hours",237274,"317 km",316836
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizzaria Tarantela",-22.025949,-47.8875974,NA,NA,NA,NA
